[2022-06-26 09:40:22 PM-uap_sgd.py-INFO:2022-06-26 21:40:22.523165 | Epoch: 23 | accuracy = 0.642 | uap: min=-0.07843 max=0.00000 mean=-0.03816]
[2022-06-26 09:43:20 PM-uap_sgd.py-INFO:2022-06-26 21:43:20.640827 | Epoch: 24 | accuracy = 0.6435 | uap: min=-0.07843 max=0.00000 mean=-0.03821]
[2022-06-26 09:46:14 PM-uap_sgd.py-INFO:2022-06-26 21:46:14.265547 | Epoch: 25 | accuracy = 0.6475 | uap: min=-0.07843 max=0.00000 mean=-0.03818]
[2022-06-26 09:49:01 PM-uap_sgd.py-INFO:2022-06-26 21:49:01.760159 | Epoch: 26 | accuracy = 0.6395 | uap: min=-0.07843 max=0.00000 mean=-0.03808]
[2022-06-26 09:51:57 PM-uap_sgd.py-INFO:2022-06-26 21:51:57.706020 | Epoch: 27 | accuracy = 0.637 | uap: min=-0.07843 max=0.00000 mean=-0.03805]
[2022-06-26 09:54:54 PM-uap_sgd.py-INFO:2022-06-26 21:54:54.313212 | Epoch: 28 | accuracy = 0.632 | uap: min=-0.07843 max=0.00000 mean=-0.03824]
[2022-06-26 09:57:54 PM-uap_sgd.py-INFO:2022-06-26 21:57:54.704403 | Epoch: 29 | accuracy = 0.626 | uap: min=-0.07843 max=0.00000 mean=-0.03827]
[2022-06-26 10:00:48 PM-uap_sgd.py-INFO:2022-06-26 22:00:48.670290 | Epoch: 30 | accuracy = 0.6485 | uap: min=-0.07843 max=0.00000 mean=-0.03815]
[2022-06-26 10:03:50 PM-uap_sgd.py-INFO:2022-06-26 22:03:50.694313 | Epoch: 31 | accuracy = 0.6165 | uap: min=-0.07843 max=0.00000 mean=-0.03822]
[2022-06-26 10:06:45 PM-uap_sgd.py-INFO:2022-06-26 22:06:45.673116 | Epoch: 32 | accuracy = 0.651 | uap: min=-0.07843 max=0.00000 mean=-0.03825]
[2022-06-26 10:09:42 PM-uap_sgd.py-INFO:2022-06-26 22:09:42.280698 | Epoch: 33 | accuracy = 0.662 | uap: min=-0.07843 max=0.00000 mean=-0.03822]
[2022-06-26 10:12:40 PM-uap_sgd.py-INFO:2022-06-26 22:12:40.982198 | Epoch: 34 | accuracy = 0.6605 | uap: min=-0.07843 max=0.00000 mean=-0.03827]
[2022-06-26 10:15:38 PM-uap_sgd.py-INFO:2022-06-26 22:15:38.877792 | Epoch: 35 | accuracy = 0.62 | uap: min=-0.07843 max=0.00000 mean=-0.03806]
[2022-06-26 10:18:32 PM-uap_sgd.py-INFO:2022-06-26 22:18:32.478542 | Epoch: 36 | accuracy = 0.6515 | uap: min=-0.07843 max=0.00000 mean=-0.03822]
[2022-06-26 10:21:32 PM-uap_sgd.py-INFO:2022-06-26 22:21:32.442567 | Epoch: 37 | accuracy = 0.6385 | uap: min=-0.07843 max=0.00000 mean=-0.03821]
[2022-06-26 10:24:30 PM-uap_sgd.py-INFO:2022-06-26 22:24:30.542307 | Epoch: 38 | accuracy = 0.6275 | uap: min=-0.07843 max=0.00000 mean=-0.03810]
[2022-06-26 10:27:26 PM-uap_sgd.py-INFO:2022-06-26 22:27:26.986963 | Epoch: 39 | accuracy = 0.63 | uap: min=-0.07843 max=0.00000 mean=-0.03821]
[2022-06-26 10:30:23 PM-uap_sgd.py-INFO:2022-06-26 22:30:23.856594 | Epoch: 40 | accuracy = 0.6315 | uap: min=-0.07843 max=0.00000 mean=-0.03819]
[2022-06-26 10:33:14 PM-uap_sgd.py-INFO:2022-06-26 22:33:14.643620 | Epoch: 41 | accuracy = 0.6435 | uap: min=-0.07843 max=0.00000 mean=-0.03825]
[2022-06-26 10:36:05 PM-uap_sgd.py-INFO:2022-06-26 22:36:05.350630 | Epoch: 42 | accuracy = 0.6435 | uap: min=-0.07843 max=0.00000 mean=-0.03819]
[2022-06-26 10:39:06 PM-uap_sgd.py-INFO:2022-06-26 22:39:06.389739 | Epoch: 43 | accuracy = 0.6385 | uap: min=-0.07843 max=0.00000 mean=-0.03803]
[2022-06-26 10:42:01 PM-uap_sgd.py-INFO:2022-06-26 22:42:01.029801 | Epoch: 44 | accuracy = 0.6415 | uap: min=-0.07843 max=0.00000 mean=-0.03820]
[2022-06-26 10:44:49 PM-uap_sgd.py-INFO:2022-06-26 22:44:49.175011 | Epoch: 45 | accuracy = 0.628 | uap: min=-0.07843 max=0.00000 mean=-0.03823]
[2022-06-26 10:47:38 PM-uap_sgd.py-INFO:2022-06-26 22:47:38.323217 | Epoch: 46 | accuracy = 0.633 | uap: min=-0.07843 max=0.00000 mean=-0.03838]
[2022-06-26 10:50:23 PM-uap_sgd.py-INFO:2022-06-26 22:50:23.569958 | Epoch: 47 | accuracy = 0.625 | uap: min=-0.07843 max=0.00000 mean=-0.03818]
[2022-06-26 10:53:11 PM-uap_sgd.py-INFO:2022-06-26 22:53:11.019532 | Epoch: 48 | accuracy = 0.6465 | uap: min=-0.07843 max=0.00000 mean=-0.03824]
[2022-06-26 10:56:12 PM-uap_sgd.py-INFO:2022-06-26 22:56:12.120015 | Epoch: 49 | accuracy = 0.6445 | uap: min=-0.07843 max=0.00000 mean=-0.03812]
[2022-06-26 10:59:02 PM-uap_sgd.py-INFO:2022-06-26 22:59:02.242575 | Epoch: 50 | accuracy = 0.644 | uap: min=-0.07843 max=0.00000 mean=-0.03824]



