[2022-06-27 02:47:03 AM-uap_sgd.py-INFO:2022-06-27 02:47:03.027843 | Epoch:  0 | accuracy = 0.803]
[2022-06-27 05:10:37 AM-uap_sgd.py-INFO:2022-06-27 05:10:37.500871 | Epoch: 45 | accuracy = 0.601 | uap: min=-0.15686 max=0.00000 mean=-0.07916]
[2022-06-27 05:13:51 AM-uap_sgd.py-INFO:2022-06-27 05:13:51.770587 | Epoch: 46 | accuracy = 0.613 | uap: min=-0.15686 max=0.00000 mean=-0.07880]
[2022-06-27 05:17:04 AM-uap_sgd.py-INFO:2022-06-27 05:17:04.061281 | Epoch: 47 | accuracy = 0.5795 | uap: min=-0.15686 max=0.00000 mean=-0.07865]
[2022-06-27 05:17:04 AM-uap_sgd.py-INFO:2022-06-27 05:17:04.062619 | Saved best perturbation at ./perturbations/pert_negative_sgd-uap_resnet152_epoch48.npy]
[2022-06-27 05:20:17 AM-uap_sgd.py-INFO:2022-06-27 05:20:17.320913 | Epoch: 48 | accuracy = 0.6085 | uap: min=-0.15686 max=0.00000 mean=-0.07881]
[2022-06-27 05:23:28 AM-uap_sgd.py-INFO:2022-06-27 05:23:28.792156 | Epoch: 49 | accuracy = 0.6105 | uap: min=-0.15686 max=0.00000 mean=-0.07873]
[2022-06-27 05:26:41 AM-uap_sgd.py-INFO:2022-06-27 05:26:41.448790 | Epoch: 50 | accuracy = 0.604 | uap: min=-0.15686 max=0.00000 mean=-0.07857]
[2022-06-27 05:29:44 AM-uap_sgd.py-INFO:2022-06-27 05:29:44.884157 | Epoch: 51 | accuracy = 0.6035 | uap: min=-0.15686 max=0.00000 mean=-0.07896]
[2022-06-27 05:32:52 AM-uap_sgd.py-INFO:2022-06-27 05:32:52.937559 | Epoch: 52 | accuracy = 0.6025 | uap: min=-0.15686 max=0.00000 mean=-0.07855]
[2022-06-27 05:36:04 AM-uap_sgd.py-INFO:2022-06-27 05:36:04.263415 | Epoch: 53 | accuracy = 0.6025 | uap: min=-0.15686 max=0.00000 mean=-0.07874]
[2022-06-27 05:39:04 AM-uap_sgd.py-INFO:2022-06-27 05:39:04.591528 | Epoch: 54 | accuracy = 0.5965 | uap: min=-0.15686 max=0.00000 mean=-0.07875]
[2022-06-27 05:42:13 AM-uap_sgd.py-INFO:2022-06-27 05:42:13.363268 | Epoch: 55 | accuracy = 0.6145 | uap: min=-0.15686 max=0.00000 mean=-0.07895]
[2022-06-27 05:45:17 AM-uap_sgd.py-INFO:2022-06-27 05:45:17.032916 | Epoch: 56 | accuracy = 0.6085 | uap: min=-0.15686 max=0.00000 mean=-0.07895]
[2022-06-27 05:48:36 AM-uap_sgd.py-INFO:2022-06-27 05:48:36.219607 | Epoch: 57 | accuracy = 0.604 | uap: min=-0.15686 max=0.00000 mean=-0.07898]
[2022-06-27 05:52:01 AM-uap_sgd.py-INFO:2022-06-27 05:52:01.661512 | Epoch: 58 | accuracy = 0.6055 | uap: min=-0.15686 max=0.00000 mean=-0.07888]
[2022-06-27 05:55:23 AM-uap_sgd.py-INFO:2022-06-27 05:55:23.240204 | Epoch: 59 | accuracy = 0.593 | uap: min=-0.15686 max=0.00000 mean=-0.07876]
[2022-06-27 05:58:49 AM-uap_sgd.py-INFO:2022-06-27 05:58:49.728270 | Epoch: 60 | accuracy = 0.588 | uap: min=-0.15686 max=0.00000 mean=-0.07866]
[2022-06-27 06:02:20 AM-uap_sgd.py-INFO:2022-06-27 06:02:20.366785 | Epoch: 61 | accuracy = 0.616 | uap: min=-0.15686 max=0.00000 mean=-0.07890]
[2022-06-27 06:05:43 AM-uap_sgd.py-INFO:2022-06-27 06:05:43.448720 | Epoch: 62 | accuracy = 0.61 | uap: min=-0.15686 max=0.00000 mean=-0.07881]
[2022-06-27 06:09:08 AM-uap_sgd.py-INFO:2022-06-27 06:09:08.086361 | Epoch: 63 | accuracy = 0.6195 | uap: min=-0.15686 max=0.00000 mean=-0.07889]
[2022-06-27 06:12:34 AM-uap_sgd.py-INFO:2022-06-27 06:12:34.973726 | Epoch: 64 | accuracy = 0.5925 | uap: min=-0.15686 max=0.00000 mean=-0.07839]
[2022-06-27 06:16:02 AM-uap_sgd.py-INFO:2022-06-27 06:16:02.819389 | Epoch: 65 | accuracy = 0.596 | uap: min=-0.15686 max=0.00000 mean=-0.07889]
[2022-06-27 06:19:24 AM-uap_sgd.py-INFO:2022-06-27 06:19:24.872751 | Epoch: 66 | accuracy = 0.597 | uap: min=-0.15686 max=0.00000 mean=-0.07886]
[2022-06-27 06:22:53 AM-uap_sgd.py-INFO:2022-06-27 06:22:53.596618 | Epoch: 67 | accuracy = 0.6075 | uap: min=-0.15686 max=0.00000 mean=-0.07864]
[2022-06-27 06:26:24 AM-uap_sgd.py-INFO:2022-06-27 06:26:24.612694 | Epoch: 68 | accuracy = 0.5905 | uap: min=-0.15686 max=0.00000 mean=-0.07897]
[2022-06-27 06:29:44 AM-uap_sgd.py-INFO:2022-06-27 06:29:44.163349 | Epoch: 69 | accuracy = 0.6095 | uap: min=-0.15686 max=0.00000 mean=-0.07872]
[2022-06-27 06:33:08 AM-uap_sgd.py-INFO:2022-06-27 06:33:08.525030 | Epoch: 70 | accuracy = 0.5845 | uap: min=-0.15686 max=0.00000 mean=-0.07863]
[2022-06-27 06:36:36 AM-uap_sgd.py-INFO:2022-06-27 06:36:36.625908 | Epoch: 71 | accuracy = 0.6165 | uap: min=-0.15686 max=0.00000 mean=-0.07879]
[2022-06-27 06:40:03 AM-uap_sgd.py-INFO:2022-06-27 06:40:03.635681 | Epoch: 72 | accuracy = 0.6035 | uap: min=-0.15686 max=0.00000 mean=-0.07879]
[2022-06-27 06:43:33 AM-uap_sgd.py-INFO:2022-06-27 06:43:33.098374 | Epoch: 73 | accuracy = 0.6195 | uap: min=-0.15686 max=0.00000 mean=-0.07875]
[2022-06-27 06:47:01 AM-uap_sgd.py-INFO:2022-06-27 06:47:01.232039 | Epoch: 74 | accuracy = 0.61 | uap: min=-0.15686 max=0.00000 mean=-0.07890]
[2022-06-27 06:50:28 AM-uap_sgd.py-INFO:2022-06-27 06:50:28.310456 | Epoch: 75 | accuracy = 0.6395 | uap: min=-0.15686 max=0.00000 mean=-0.07870]
[2022-06-27 06:53:56 AM-uap_sgd.py-INFO:2022-06-27 06:53:56.757389 | Epoch: 76 | accuracy = 0.6015 | uap: min=-0.15686 max=0.00000 mean=-0.07873]
[2022-06-27 06:57:23 AM-uap_sgd.py-INFO:2022-06-27 06:57:23.221585 | Epoch: 77 | accuracy = 0.6025 | uap: min=-0.15686 max=0.00000 mean=-0.07870]
[2022-06-27 07:00:48 AM-uap_sgd.py-INFO:2022-06-27 07:00:48.063308 | Epoch: 78 | accuracy = 0.6195 | uap: min=-0.15686 max=0.00000 mean=-0.07853]
[2022-06-27 07:04:12 AM-uap_sgd.py-INFO:2022-06-27 07:04:12.133831 | Epoch: 79 | accuracy = 0.61 | uap: min=-0.15686 max=0.00000 mean=-0.07881]
[2022-06-27 07:07:42 AM-uap_sgd.py-INFO:2022-06-27 07:07:42.500549 | Epoch: 80 | accuracy = 0.6165 | uap: min=-0.15686 max=0.00000 mean=-0.07879]
[2022-06-27 07:10:54 AM-uap_sgd.py-INFO:2022-06-27 07:10:54.755395 | Epoch: 81 | accuracy = 0.591 | uap: min=-0.15686 max=0.00000 mean=-0.07851]
[2022-06-27 07:14:18 AM-uap_sgd.py-INFO:2022-06-27 07:14:18.049190 | Epoch: 82 | accuracy = 0.608 | uap: min=-0.15686 max=0.00000 mean=-0.07888]
[2022-06-27 07:17:31 AM-uap_sgd.py-INFO:2022-06-27 07:17:31.881255 | Epoch: 83 | accuracy = 0.6225 | uap: min=-0.15686 max=0.00000 mean=-0.07887]
[2022-06-27 07:20:52 AM-uap_sgd.py-INFO:2022-06-27 07:20:52.907954 | Epoch: 84 | accuracy = 0.615 | uap: min=-0.15686 max=0.00000 mean=-0.07878]
[2022-06-27 07:24:06 AM-uap_sgd.py-INFO:2022-06-27 07:24:06.026147 | Epoch: 85 | accuracy = 0.603 | uap: min=-0.15686 max=0.00000 mean=-0.07905]
[2022-06-27 07:27:22 AM-uap_sgd.py-INFO:2022-06-27 07:27:22.103115 | Epoch: 86 | accuracy = 0.6075 | uap: min=-0.15686 max=0.00000 mean=-0.07890]
[2022-06-27 07:30:30 AM-uap_sgd.py-INFO:2022-06-27 07:30:30.884216 | Epoch: 87 | accuracy = 0.638 | uap: min=-0.15686 max=0.00000 mean=-0.07886]
[2022-06-27 07:33:46 AM-uap_sgd.py-INFO:2022-06-27 07:33:46.473276 | Epoch: 88 | accuracy = 0.613 | uap: min=-0.15686 max=0.00000 mean=-0.07876]
[2022-06-27 07:37:05 AM-uap_sgd.py-INFO:2022-06-27 07:37:05.847689 | Epoch: 89 | accuracy = 0.59 | uap: min=-0.15686 max=0.00000 mean=-0.07861]
